"Step","Group: protoss_10_vs_11_QMIX - win_rate","Group: protoss_10_vs_11_QMIX - win_rate__MIN","Group: protoss_10_vs_11_QMIX - win_rate__MAX"
"1620031","0","0","0"
"1620040","0.03125","0.03125","0.03125"
"1620059","0.03125","0.03125","0.03125"
"1630009","0","0","0"
"1630014","0.09375","0.09375","0.09375"
"1630021","0","0","0"
"1630024","0.0625","0.0625","0.0625"
"1630042","0","0","0"
"1630046","0","0","0"
"1640009","0","0","0"
"1640012","0","0","0"
"1640016","0","0","0"
"1640033","0","0","0"
"1640048","0.03125","0.03125","0.03125"
"1640049","0","0","0"
"1650005","0","0","0"
"1650008","0","0","0"
"1650019","0.03125","0.03125","0.03125"
"1650033","0","0","0"
"1650047","0","0","0"
"1650061","0","0","0"
"1660015","0.09375","0.09375","0.09375"
"1660021","0.015625","0","0.03125"
"1660026","0","0","0"
"1660027","0","0","0"
"1660054","0","0","0"
"1670004","0","0","0"
"1670007","0.03125","0.03125","0.03125"
"1670008","0.0625","0.0625","0.0625"
"1670011","0.03125","0.03125","0.03125"
"1670032","0.03125","0.03125","0.03125"
"1670048","0","0","0"
"1680000","0.0625","0.0625","0.0625"
"1680020","0","0","0"
"1680023","0","0","0"
"1680034","0","0","0"
"1680037","0","0","0"
"1680044","0","0","0"
"1690018","0","0","0"
"1690020","0.015625","0","0.03125"
"1690028","0","0","0"
"1690051","0.03125","0.03125","0.03125"
"1690079","0","0","0"
"1700006","0","0","0"
"1700021","0","0","0"
"1700025","0.03125","0.03125","0.03125"
"1700036","0","0","0"
"1700041","0","0","0"
"1700075","0.03125","0.03125","0.03125"
"1710005","0","0","0"
"1710027","0.03125","0.03125","0.03125"
"1710037","0.03125","0.03125","0.03125"
"1710042","0","0","0"
"1710046","0.03125","0.03125","0.03125"
"1710079","0","0","0"
"1720006","0","0","0"
"1720025","0","0","0"
"1720029","0","0","0"
"1720043","0.09375","0.09375","0.09375"
"1720050","0","0","0"
"1720051","0.03125","0.03125","0.03125"
"1730009","0","0","0"
"1730010","0","0","0"
"1730011","0.03125","0.03125","0.03125"
"1730017","0","0","0"
"1730021","0","0","0"
"1730034","0","0","0"
"1740000","0","0","0"
"1740001","0","0","0"
"1740016","0","0","0"
