"Step","Group: protoss_10_vs_11_ACORM - win_rate","Group: protoss_10_vs_11_ACORM - win_rate__MIN","Group: protoss_10_vs_11_ACORM - win_rate__MAX"
"1350238","0.03125","0.03125","0.03125"
"1350240","0","0","0"
"1350297","0","0","0"
"1360224","0.03125","0.03125","0.03125"
"1360225","0.03125","0.03125","0.03125"
"1360248","0.125","0.125","0.125"
"1360268","0","0","0"
"1360271","0.15625","0.15625","0.15625"
"1360289","0.0625","0.0625","0.0625"
"1370220","0","0","0"
"1370236","0.0625","0.0625","0.0625"
"1370251","0.09375","0.09375","0.09375"
"1370297","0.03125","0.03125","0.03125"
"1370309","0.15625","0.15625","0.15625"
"1380226","0","0","0"
"1380227","0.03125","0.03125","0.03125"
"1380228","0","0","0"
"1380230","0.03125","0.03125","0.03125"
"1380245","0.125","0.125","0.125"
"1380296","0.125","0.125","0.125"
"1390224","0","0","0"
"1390226","0.0625","0.0625","0.0625"
"1390229","0.0625","0.0625","0.0625"
"1390239","0.03125","0.03125","0.03125"
"1390280","0.03125","0.03125","0.03125"
"1390285","0.09375","0.09375","0.09375"
"1400232","0.03125","0.03125","0.03125"
"1400238","0.0625","0.0625","0.0625"
"1400244","0","0","0"
"1400250","0.0625","0.0625","0.0625"
"1400266","0.0625","0.0625","0.0625"
"1400302","0.0625","0.0625","0.0625"
"1410226","0.3125","0.3125","0.3125"
"1410258","0.125","0.125","0.125"
"1410267","0","0","0"
"1410269","0","0","0"
"1410275","0.21875","0.21875","0.21875"
"1410289","0.09375","0.09375","0.09375"
"1420227","0","0","0"
"1420241","0.03125","0.03125","0.03125"
"1420242","0.0625","0.0625","0.0625"
"1420254","0.0625","0.0625","0.0625"
"1420257","0.03125","0.03125","0.03125"
"1420265","0.15625","0.15625","0.15625"
"1430232","0.03125","0.03125","0.03125"
"1430244","0.0625","0.0625","0.0625"
"1430252","0","0","0"
"1430259","0.125","0.125","0.125"
"1430261","0.03125","0.03125","0.03125"
"1430282","0.15625","0.15625","0.15625"
"1440245","0.0625","0.0625","0.0625"
"1440261","0","0","0"
"1440263","0.03125","0.03125","0.03125"
"1440264","0.1875","0.1875","0.1875"
"1440283","0.03125","0.03125","0.03125"
"1440285","0.09375","0.09375","0.09375"
"1450224","0.0625","0.0625","0.0625"
"1450239","0.0625","0.0625","0.0625"
"1450244","0.125","0.125","0.125"
"1450249","0.0625","0.0625","0.0625"
"1450251","0","0","0"
"1450261","0.0625","0.0625","0.0625"
"1460224","0","0","0"
"1460226","0.0625","0.0625","0.0625"
"1460237","0","0","0"
"1460239","0.1875","0.1875","0.1875"
"1460249","0.0625","0.0625","0.0625"
"1460260","0.09375","0.09375","0.09375"
"1470224","0.125","0.125","0.125"
"1470240","0","0","0"
"1470246","0","0","0"
"1470262","0.0625","0.0625","0.0625"
"1470270","0.09375","0.09375","0.09375"
"1470276","0.25","0.25","0.25"
"1480225","0.0625","0.0625","0.0625"
"1480240","0.0625","0.0625","0.0625"
"1480244","0","0","0"
"1480249","0.03125","0.03125","0.03125"
"1480269","0.03125","0.03125","0.03125"
"1480283","0.125","0.125","0.125"
"1490221","0.03125","0","0.0625"
"1490227","0.03125","0.03125","0.03125"
"1490235","0.03125","0.03125","0.03125"
"1490237","0","0","0"
"1490258","0","0","0"
"1500221","0.0625","0.0625","0.0625"
"1500229","0.1875","0.1875","0.1875"
"1500234","0.03125","0.03125","0.03125"
"1500240","0","0","0"
