"Step","Group: terran_10_vs_11_QMIX - win_rate","Group: terran_10_vs_11_QMIX - win_rate__MIN","Group: terran_10_vs_11_QMIX - win_rate__MAX"
"1510002","0","0","0"
"1510005","0.03125","0.03125","0.03125"
"1510018","0.03125","0.03125","0.03125"
"1510045","0.0625","0.0625","0.0625"
"1510047","0.09375","0.09375","0.09375"
"1510082","0","0","0"
"1520004","0.03125","0.03125","0.03125"
"1520008","0","0","0"
"1520013","0.03125","0.03125","0.03125"
"1520027","0.09375","0.09375","0.09375"
"1520033","0.0625","0.0625","0.0625"
"1520043","0.03125","0.03125","0.03125"
"1530003","0.03125","0.03125","0.03125"
"1530012","0.03125","0.03125","0.03125"
"1530019","0.03125","0.03125","0.03125"
"1530028","0","0","0"
"1530037","0","0","0"
"1530063","0","0","0"
"1540002","0","0","0"
"1540007","0","0","0"
"1540010","0.0625","0.0625","0.0625"
"1540012","0.03125","0","0.0625"
"1540025","0.03125","0.03125","0.03125"
"1550000","0.03125","0.03125","0.03125"
"1550001","0.03125","0.03125","0.03125"
"1550016","0","0","0"
"1550019","0.03125","0.03125","0.03125"
"1550022","0.0625","0.0625","0.0625"
"1550027","0","0","0"
"1560008","0","0","0"
"1560019","0.03125","0.03125","0.03125"
"1560020","0.03125","0.03125","0.03125"
"1560029","0.03125","0.03125","0.03125"
"1560031","0.078125","0.0625","0.09375"
"1570005","0.03125","0.03125","0.03125"
"1570007","0.046875","0","0.09375"
"1570038","0","0","0"
"1570044","0.0625","0.0625","0.0625"
"1570059","0.03125","0.03125","0.03125"
"1580018","0","0","0"
"1580023","0.046875","0.03125","0.0625"
"1580034","0","0","0"
"1580044","0","0","0"
"1580079","0.125","0.125","0.125"
"1590000","0","0","0"
"1590009","0.03125","0.03125","0.03125"
"1590020","0.09375","0.09375","0.09375"
"1590029","0.0625","0.0625","0.0625"
"1590033","0","0","0"
