"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"1080282","0.28125","0","0.5625"
"1080732","0","0","0"
"1090224","0.25","0.25","0.25"
"1090228","0.6875","0.6875","0.6875"
"1090277","0.6875","0.6875","0.6875"
"1090292","0.5","0.5","0.5"
"1090332","0","0","0"
"1090367","0.5","0.5","0.5"
"1090610","0","0","0"
"1100228","0.59375","0.59375","0.59375"
"1100258","0.53125","0.53125","0.53125"
"1100277","0.53125","0.53125","0.53125"
"1100288","0.75","0.75","0.75"
"1100292","0.59375","0.59375","0.59375"
"1100301","0","0","0"
"1100638","0.03125","0.03125","0.03125"
"1110233","0.3125","0.3125","0.3125"
"1110237","0.5625","0.5625","0.5625"
"1110266","0.46875","0.46875","0.46875"
"1110299","0.03125","0.03125","0.03125"
"1110373","0.90625","0.90625","0.90625"
"1110383","0.6875","0.6875","0.6875"
"1110614","0","0","0"
"1120232","0.4375","0.4375","0.4375"
"1120262","0.625","0.625","0.625"
"1120263","0.0625","0.0625","0.0625"
"1120300","0.71875","0.71875","0.71875"
"1120305","0.6875","0.6875","0.6875"
"1120372","0.53125","0.53125","0.53125"
"1120624","0","0","0"
"1130251","0.640625","0.59375","0.6875"
"1130276","0.75","0.75","0.75"
"1130286","0.65625","0.65625","0.65625"
"1130291","0.90625","0.90625","0.90625"
"1130351","0.03125","0.03125","0.03125"
"1130624","0","0","0"
"1140229","0.46875","0.46875","0.46875"
"1140247","0.78125","0.78125","0.78125"
"1140257","0.8125","0.8125","0.8125"
"1140261","0.59375","0.59375","0.59375"
"1140271","0.8125","0.8125","0.8125"
"1140285","0.03125","0.03125","0.03125"
"1140686","0","0","0"
"1150243","0.03125","0.03125","0.03125"
"1150250","0.5625","0.5625","0.5625"
"1150267","0.71875","0.71875","0.71875"
"1150278","0.46875","0.46875","0.46875"
"1150279","0.6875","0.6875","0.6875"
"1150309","0.71875","0.71875","0.71875"
"1150622","0","0","0"
"1160220","0.59375","0.59375","0.59375"
"1160227","0.5","0.5","0.5"
"1160256","0.4375","0.4375","0.4375"
