"Step","Group: 3s5z_vs_3s6z_QMIX - win_rate","Group: 3s5z_vs_3s6z_QMIX - win_rate__MIN","Group: 3s5z_vs_3s6z_QMIX - win_rate__MAX"
"1900104","0","0","0"
"1900125","0","0","0"
"1900130","0","0","0"
"1910021","0","0","0"
"1910026","0","0","0"
"1910041","0","0","0"
"1910066","0","0","0"
"1910133","0","0","0"
"1910155","0","0","0"
"1920021","0","0","0"
"1920024","0","0","0"
"1920042","0","0","0"
"1920082","0","0","0"
"1920114","0","0","0"
"1920137","0","0","0"
"1930005","0","0","0"
"1930018","0","0","0"
"1930085","0","0","0"
"1930091","0","0","0"
"1930093","0","0","0"
"1930105","0","0","0"
"1940000","0","0","0"
"1940002","0","0","0"
"1940017","0","0","0"
"1940098","0","0","0"
"1940111","0","0","0"
"1940117","0","0","0"
"1950017","0","0","0"
"1950046","0","0","0"
"1950065","0","0","0"
"1950067","0","0","0"
"1950098","0","0","0"
"1950164","0","0","0"
"1960001","0","0","0"
"1960025","0","0","0"
"1960061","0","0","0"
"1960063","0","0","0"
"1960083","0","0","0"
"1960145","0","0","0"
"1970009","0","0","0"
"1970016","0","0","0"
"1970059","0","0","0"
"1970061","0","0","0"
"1970155","0","0","0"
"1970158","0","0","0"
"1980001","0","0","0"
"1980016","0","0","0"
"1980045","0","0","0"
"1980055","0","0","0"
"1980123","0","0","0"
"1980162","0","0","0"
"1990015","0","0","0"
"1990016","0","0","0"
"1990027","0","0","0"
"1990038","0","0","0"
"1990083","0","0","0"
"1990107","0","0","0"
"2000026","0","0","0"
"2000028","0","0","0"
"2000059","0","0","0"
"2000072","0","0","0"
"2000130","0","0","0"
