"Step","Group: MMM2_QMIX - win_rate","Group: MMM2_QMIX - win_rate__MIN","Group: MMM2_QMIX - win_rate__MAX"
"1390051","0.40625","0.40625","0.40625"
"1390159","0.4375","0.4375","0.4375"
"1400002","0.09375","0.09375","0.09375"
"1400003","0.3125","0.3125","0.3125"
"1400012","0.0625","0.0625","0.0625"
"1400030","0.15625","0.15625","0.15625"
"1400031","0.40625","0.40625","0.40625"
"1400151","0.25","0.25","0.25"
"1410002","0.25","0.25","0.25"
"1410013","0.03125","0.03125","0.03125"
"1410016","0.03125","0.03125","0.03125"
"1410020","0.3125","0.3125","0.3125"
"1410026","0.46875","0.46875","0.46875"
"1410065","0.125","0.125","0.125"
"1420008","0","0","0"
"1420022","0.09375","0.09375","0.09375"
"1420032","0.4375","0.4375","0.4375"
"1420034","0.40625","0.40625","0.40625"
"1420054","0.21875","0.21875","0.21875"
"1420138","0.5625","0.5625","0.5625"
"1430003","0.5","0.5","0.5"
"1430012","0.125","0.125","0.125"
"1430040","0.28125","0.28125","0.28125"
"1430045","0.34375","0.34375","0.34375"
"1430067","0.15625","0.15625","0.15625"
"1430154","0.0625","0.0625","0.0625"
"1440032","0.15625","0.15625","0.15625"
"1440052","0.34375","0.34375","0.34375"
"1440068","0.21875","0.21875","0.21875"
"1440075","0.15625","0.15625","0.15625"
"1440137","0.34375","0.34375","0.34375"
"1440143","0.21875","0.21875","0.21875"
"1450003","0.53125","0.53125","0.53125"
"1450018","0.1875","0.1875","0.1875"
"1450035","0.125","0.125","0.125"
"1450042","0.28125","0.28125","0.28125"
"1450049","0.125","0.125","0.125"
"1450051","0.125","0.125","0.125"
"1460000","0.4375","0.4375","0.4375"
"1460009","0.34375","0.15625","0.53125"
"1460012","0","0","0"
"1460027","0.4375","0.4375","0.4375"
"1460082","0.15625","0.15625","0.15625"
"1470023","0.1875","0.1875","0.1875"
"1470027","0.1875","0.1875","0.1875"
"1470050","0.46875","0.46875","0.46875"
"1470055","0.03125","0","0.0625"
"1470077","0.28125","0.28125","0.28125"
"1480005","0.25","0.25","0.25"
