"Step","Group: MMM2_ACORM - win_rate","Group: MMM2_ACORM - win_rate__MIN","Group: MMM2_ACORM - win_rate__MAX"
"1080248","0.84375","0.84375","0.84375"
"1080249","0.6875","0.6875","0.6875"
"1080250","0.78125","0.78125","0.78125"
"1090229","0.75","0.75","0.75"
"1090231","0.8125","0.8125","0.8125"
"1090256","0.84375","0.84375","0.84375"
"1090263","0.875","0.875","0.875"
"1090287","0.875","0.875","0.875"
"1100239","0.875","0.8125","0.9375"
"1100242","0.875","0.875","0.875"
"1100253","0.90625","0.90625","0.90625"
"1100335","0.90625","0.90625","0.90625"
"1110230","0.375","0.375","0.375"
"1110251","0.90625","0.90625","0.90625"
"1110277","0.71875","0.71875","0.71875"
"1110299","0.78125","0.78125","0.78125"
"1110370","0.875","0.875","0.875"
"1120222","0.65625","0.65625","0.65625"
"1120226","0.8125","0.8125","0.8125"
"1120227","0.8125","0.8125","0.8125"
"1120270","0.90625","0.90625","0.90625"
"1120371","0.84375","0.84375","0.84375"
"1130253","0.90625","0.90625","0.90625"
"1130259","0.78125","0.78125","0.78125"
"1130271","0.78125","0.78125","0.78125"
"1130281","0.84375","0.84375","0.84375"
"1130340","0.8125","0.8125","0.8125"
"1140224","0.75","0.75","0.75"
"1140229","0.875","0.875","0.875"
"1140236","0.875","0.875","0.875"
"1140245","0.8125","0.8125","0.8125"
"1140247","0.78125","0.78125","0.78125"
"1150222","0.78125","0.78125","0.78125"
"1150239","0.84375","0.84375","0.84375"
"1150249","0.875","0.875","0.875"
"1150269","0.6875","0.6875","0.6875"
"1150271","0.6875","0.6875","0.6875"
"1160226","0.90625","0.90625","0.90625"
"1160269","0.90625","0.90625","0.90625"
"1160283","0.8125","0.8125","0.8125"
"1160338","0.5625","0.5625","0.5625"
"1160359","0","0","0"
"1170249","0.90625","0.90625","0.90625"
"1170251","0.78125","0.78125","0.78125"
"1170253","0.375","0.375","0.375"
"1170284","0.71875","0.71875","0.71875"
"1170349","0.75","0.75","0.75"
"1180227","0.71875","0.71875","0.71875"
"1180233","0.8125","0.8125","0.8125"
"1180247","0.75","0.75","0.75"
"1180248","0.65625","0.65625","0.65625"
"1180280","0.4375","0.4375","0.4375"
"1190224","0.9375","0.9375","0.9375"
"1190229","0.8125","0.8125","0.8125"
"1190232","0.75","0.75","0.75"
"1190258","0.9375","0.9375","0.9375"
"1190293","0.875","0.875","0.875"
"1200222","0.53125","0.53125","0.53125"
"1200230","0.78125","0.78125","0.78125"
"1200237","0.8125","0.8125","0.8125"
"1200250","0.75","0.75","0.75"
"1200393","0.875","0.875","0.875"
"1210228","0.9375","0.9375","0.9375"
"1210244","0.875","0.875","0.875"
"1210248","0.875","0.875","0.875"
"1210259","0.75","0.75","0.75"
"1210272","0.90625","0.90625","0.90625"
"1220224","0.8125","0.8125","0.8125"
"1220230","0.9375","0.9375","0.9375"
"1220255","0.78125","0.78125","0.78125"
"1220283","0.71875","0.71875","0.71875"
"1220383","0.875","0.875","0.875"
"1230242","1","1","1"
"1230244","0.78125","0.78125","0.78125"
"1230247","0.78125","0.78125","0.78125"
"1230264","0.875","0.875","0.875"
"1230272","0.6875","0.6875","0.6875"
"1240230","0.84375","0.84375","0.84375"
"1240240","0.90625","0.90625","0.90625"
"1240271","0.84375","0.84375","0.84375"
"1240356","0.890625","0.84375","0.9375"
"1250230","0.75","0.75","0.75"
"1250231","0.8125","0.8125","0.8125"
"1250233","0.9375","0.9375","0.9375"
"1250242","0.875","0.875","0.875"
"1250250","0.46875","0.46875","0.46875"
"1260240","0.84375","0.78125","0.90625"
"1260255","0.875","0.875","0.875"
"1260278","0.8125","0.8125","0.8125"
"1260367","0.875","0.875","0.875"
"1270240","0.875","0.875","0.875"
"1270242","0.84375","0.84375","0.84375"
"1270245","0.875","0.875","0.875"
"1270248","0.90625","0.90625","0.90625"
"1270253","0.90625","0.90625","0.90625"
"1280225","0.875","0.875","0.875"
"1280233","0.78125","0.78125","0.78125"
"1280247","0.9375","0.9375","0.9375"
"1280249","0.96875","0.96875","0.96875"
"1280259","0.875","0.875","0.875"
"1290220","0.9375","0.9375","0.9375"
"1290233","0.90625","0.90625","0.90625"
"1290235","0.9375","0.9375","0.9375"
"1290252","0.65625","0.65625","0.65625"
"1290375","0.90625","0.90625","0.90625"
"1300226","0.875","0.875","0.875"
"1300231","0.84375","0.84375","0.84375"
"1300239","0.6875","0.6875","0.6875"
"1300246","0.78125","0.78125","0.78125"
"1300262","0.8125","0.8125","0.8125"
"1310225","0.78125","0.78125","0.78125"
"1310255","0.75","0.75","0.75"
"1310293","0.96875","0.96875","0.96875"
"1310322","0.78125","0.78125","0.78125"
"1310365","0.875","0.875","0.875"
"1320238","0.65625","0.65625","0.65625"
"1320247","0.78125","0.78125","0.78125"
"1320252","0.75","0.75","0.75"
"1320253","0.53125","0.53125","0.53125"
"1320273","0.71875","0.71875","0.71875"
"1330252","0.8125","0.8125","0.8125"
"1330254","0.8125","0.8125","0.8125"
"1330258","0.875","0.875","0.875"
"1330263","0.90625","0.90625","0.90625"
"1330284","0.875","0.875","0.875"
"1340221","0.84375","0.84375","0.84375"
"1340224","0.71875","0.71875","0.71875"
"1340268","0.84375","0.84375","0.84375"
"1340272","0.9375","0.9375","0.9375"
"1340274","0.875","0.875","0.875"
"1350222","0.84375","0.84375","0.84375"
"1350240","0.96875","0.96875","0.96875"
"1350247","0.40625","0.40625","0.40625"
"1350249","0.75","0.75","0.75"
"1350264","0.90625","0.90625","0.90625"
"1360226","0.53125","0.53125","0.53125"
"1360233","0.8125","0.8125","0.8125"
"1360247","0.75","0.75","0.75"
"1360274","0.96875","0.96875","0.96875"
"1360347","0.8125","0.8125","0.8125"
"1370222","0.9375","0.9375","0.9375"
"1370255","0.875","0.875","0.875"
"1370267","0.84375","0.84375","0.84375"
"1370271","0.5","0.5","0.5"
"1370297","1","1","1"
"1380243","0.84375","0.84375","0.84375"
"1380250","0.59375","0.59375","0.59375"
"1380265","0.84375","0.84375","0.84375"
"1380276","0.90625","0.90625","0.90625"
"1380277","0.75","0.75","0.75"
"1390224","0.828125","0.8125","0.84375"
"1390254","0.59375","0.59375","0.59375"
"1390263","0.78125","0.78125","0.78125"
"1390269","0.75","0.75","0.75"
"1400221","0.8125","0.8125","0.8125"
"1400232","0.78125","0.78125","0.78125"
"1400244","0.84375","0.84375","0.84375"
"1400267","0.9375","0.9375","0.9375"
"1400364","0.9375","0.9375","0.9375"
"1410235","0.96875","0.96875","0.96875"
"1410244","0.78125","0.78125","0.78125"
"1410255","0.84375","0.84375","0.84375"
"1410263","0.875","0.875","0.875"
"1420228","0.9375","0.9375","0.9375"
"1420245","0.875","0.875","0.875"
"1420251","1","1","1"
"1420255","0.78125","0.78125","0.78125"
"1420344","0.875","0.875","0.875"
"1430223","0.96875","0.96875","0.96875"
"1430232","0.875","0.875","0.875"
"1430254","0.78125","0.78125","0.78125"
"1430262","0.875","0.875","0.875"
"1430369","0.5625","0.5625","0.5625"
"1440224","0.96875","0.96875","0.96875"
"1440229","0.875","0.875","0.875"
"1440241","1","1","1"
"1440245","0.84375","0.84375","0.84375"
"1440265","0.6875","0.6875","0.6875"
"1450241","0.875","0.875","0.875"
"1450247","0.8125","0.8125","0.8125"
"1450256","0.84375","0.84375","0.84375"
"1450258","0.875","0.875","0.875"
"1450262","0.9375","0.9375","0.9375"
"1460229","0.90625","0.90625","0.90625"
"1460244","0.65625","0.65625","0.65625"
"1460248","0.71875","0.71875","0.71875"
"1460279","0.90625","0.90625","0.90625"
"1460354","0.875","0.875","0.875"
"1470232","0.84375","0.84375","0.84375"
"1470241","0.8125","0.8125","0.8125"
"1470252","0.78125","0.78125","0.78125"
"1470258","0.6875","0.6875","0.6875"
"1470271","0.8125","0.8125","0.8125"
"1480220","0.90625","0.90625","0.90625"
