"Step","Group: 27m_vs_30m_ACORM_WM - win_rate","Group: 27m_vs_30m_ACORM_WM - win_rate__MIN","Group: 27m_vs_30m_ACORM_WM - win_rate__MAX"
"1680779","0.71875","0.71875","0.71875"
"1690258","0.875","0.875","0.875"
"1690783","0.75","0.71875","0.78125"
"1690813","0.625","0.625","0.625"
"1700241","0.875","0.875","0.875"
"1700771","0.90625","0.90625","0.90625"
"1700776","0.71875","0.71875","0.71875"
"1700779","0.9375","0.9375","0.9375"
"1710226","0.75","0.75","0.75"
"1710752","0.875","0.875","0.875"
"1710765","0.625","0.625","0.625"
"1710782","0.75","0.75","0.75"
"1720235","0.8125","0.8125","0.8125"
"1720762","0.8125","0.8125","0.8125"
"1720768","0.6875","0.6875","0.6875"
"1720772","0.90625","0.90625","0.90625"
"1730254","0.78125","0.78125","0.78125"
"1730762","0.71875","0.71875","0.71875"
"1730770","0.875","0.875","0.875"
"1730782","1","1","1"
"1740222","0.5625","0.5625","0.5625"
"1740778","0.8125","0.8125","0.8125"
"1740782","0.75","0.75","0.75"
"1740784","0.96875","0.96875","0.96875"
"1750257","0.6875","0.6875","0.6875"
"1750753","0.8125","0.8125","0.8125"
"1750755","0.78125","0.78125","0.78125"
"1750785","0.875","0.875","0.875"
"1760229","0.5625","0.5625","0.5625"
"1760755","0.71875","0.71875","0.71875"
"1760767","0.875","0.875","0.875"
"1760777","0.9375","0.9375","0.9375"
"1770240","0.5625","0.5625","0.5625"
"1770750","0.75","0.75","0.75"
"1770753","0.5625","0.5625","0.5625"
"1770792","0.90625","0.90625","0.90625"
"1780240","0.71875","0.71875","0.71875"
"1780761","0.5625","0.5625","0.5625"
"1780773","0.90625","0.90625","0.90625"
"1780783","0.8125","0.8125","0.8125"
"1790241","0.875","0.875","0.875"
"1790752","0.5625","0.5625","0.5625"
"1790753","0.9375","0.9375","0.9375"
"1790785","0.84375","0.84375","0.84375"
"1800254","0.78125","0.78125","0.78125"
"1800755","1","1","1"
"1800776","0.875","0.875","0.875"
"1800813","0.78125","0.78125","0.78125"
"1810243","0.84375","0.84375","0.84375"
